id;category_expositions_id;year_expositions_id;city;country;place;status;created_at;updated_at
28;1;1;Cartagena;Colombia;Museo de arte moderno;activo;20/10/2020 5:44;NULL
29;1;1;C. Panama;Panama;Museo de arte contemporaneo;activo;20/10/2020 5:45;NULL
30;1;1;Bogota;Colombia;Calle de la cultura, Corporación del arte;activo;20/10/2020 5:45;NULL
31;1;1;Medellin;Colombia;Instituto de recreación y cultura;activo;20/10/2020 5:46;NULL
32;1;1;Cartagena;Colombia;Imagina, Alianza Colombo Francesa;activo;20/10/2020 5:46;NULL
33;1;2;Cartagena;Colombia;Museo naval;activo;20/10/2020 5:47;NULL
34;1;2;Houston Texas;USA;Art International;activo;20/10/2020 5:47;NULL
35;1;2;Bogota;Colombia;Fenalco;activo;20/10/2020 5:48;NULL
36;1;2;C. Panama;Panama;Galeria Habitante;activo;20/10/2020 5:48;NULL
37;1;3;Cartagena;Colombia;Museo naval;activo;20/10/2020 5:49;NULL
38;1;4;Barranquilla;Colombia;Casa la Aduana;activo;20/10/2020 5:49;NULL
39;1;5;Paris;Francia;Solidays;activo;20/10/2020 5:50;NULL
40;1;5;Gieben;Alemania;Museo Oberhessisches;activo;20/10/2020 5:50;NULL
41;1;5;Weltar;Alemania;Centro cultural de Alta Tecnología;activo;20/10/2020 5:51;NULL
42;1;6;Cartagena;Colombia;Instituto de patrimonio y cultura;activo;20/10/2020 5:52;NULL
43;1;6;Cartagena;Colombia;Instituto de patrimonio y cultura;activo;20/10/2020 5:54;NULL
44;1;6;Barranquilla;Colombia;Instituto distrital de cultura;activo;20/10/2020 5:55;NULL
45;1;6;Santa Marta;Colombia;Instituto distrital de cultura;activo;20/10/2020 5:55;30/10/2020 1:44
46;1;7;Cartagena;Colombia;Instituto de patrimonio y cultura;activo;20/10/2020 5:56;NULL
47;1;7;Nuremberg;Alemania;Franken center;activo;20/10/2020 5:57;NULL
48;1;7;Munich;Alemania;Corte Federal de Patentes;activo;20/10/2020 5:57;NULL
49;1;8;Ptui;Eslovenia;Sede parlamento europeo;activo;20/10/2020 5:57;NULL
50;1;9;Stuttgar;Alemania;Universidad del pueblo;activo;20/10/2020 5:58;NULL
51;1;10;Salzgitter;Alemania;Museo Estatal;activo;20/10/2020 5:59;NULL
52;1;10;Clamart;Francia;Gobierno de Clamart;activo;20/10/2020 6:00;NULL
53;1;11;Milan;Italia;Acuario de Milan;activo;20/10/2020 6:00;NULL
54;1;11;Paris;Francia;Rivera de Rio Sena, Muelles de Paris;activo;20/10/2020 6:01;NULL
55;1;12;Frontenay les Briis;Francia;Frontenay les Briis;activo;20/10/2020 6:02;NULL
56;1;13;Florida;USA;Downtown Fort Myres;activo;20/10/2020 6:02;NULL
57;1;14;Cartagena;Colombia;Centro de formación de la cooperación Española;activo;20/10/2020 6:03;NULL
58;2;15;Chatilon;Francia;Maison Blanche;activo;20/10/2020 6:03;NULL
59;2;16;Anapoima;Colombia;Salon de Artes;activo;20/10/2020 6:04;NULL
